iter	RMSE
0	3.904828473
1	3.886556171
2	3.8699645
3	3.851654494
4	3.833584206
5	3.816202317
6	3.799255399
7	3.783700325
8	3.767667938
9	3.751171967
10	3.734522344
11	3.717817217
12	3.702350814
13	3.687699475
14	3.672262019
15	3.657548943
16	3.643865254
17	3.62909041
18	3.613914059
19	3.599782634
20	3.58643425
21	3.571302994
22	3.557826784
23	3.543345822
24	3.529044481
25	3.516442031
26	3.501899928
27	3.488734665
28	3.475421774
29	3.462358618
30	3.448749187
31	3.435993017
32	3.423714214
33	3.411989776
34	3.399554844
35	3.386970641
36	3.375313828
37	3.363673938
38	3.3516233
39	3.341549755
40	3.33027386
41	3.318739817
42	3.307292199
43	3.296620346
44	3.285348517
45	3.275320886
46	3.26507344
47	3.254436421
48	3.244215417
49	3.234007248
50	3.224470854
51	3.214686827
52	3.205364692
53	3.195153164
54	3.186003313
55	3.1764277
56	3.16735598
57	3.158703399
58	3.149223102
59	3.139923641
60	3.130783095
61	3.121760135
62	3.113030198
63	3.104234707
64	3.096876675
65	3.088893453
66	3.080822624
67	3.072211161
68	3.06466672
69	3.056141373
70	3.048088161
71	3.039915635
72	3.031751004
73	3.023948899
74	3.016830225
75	3.009078607
76	3.001340108
77	2.994247676
78	2.987456999
79	2.98015297
80	2.973198911
81	2.966474672
82	2.959021831
83	2.95234903
84	2.945532869
85	2.938670242
86	2.932107743
87	2.9263367
88	2.920131772
89	2.91410198
90	2.908394668
91	2.902362323
92	2.895650794
93	2.888891963
94	2.882742099
95	2.876679612
96	2.871220523
97	2.865586208
98	2.859957769
99	2.854165008
100	2.847967991
101	2.842269618
102	2.836703351
103	2.831056847
104	2.825680449
105	2.820453101
106	2.814702785
107	2.809565393
108	2.804104671
109	2.798602157
110	2.793489375
111	2.78880208
112	2.783397879
113	2.778575435
114	2.773337264
115	2.768095585
116	2.762928575
117	2.758446291
118	2.753880723
119	2.748967707
120	2.74462978
121	2.739846797
122	2.736034325
123	2.731854541
124	2.727458317
125	2.723097915
126	2.718678164
127	2.714222423
128	2.709732874
129	2.705344041
130	2.701597704
131	2.697427303
132	2.69328505
133	2.689633801
134	2.685839912
135	2.681923689
136	2.678360573
137	2.67468248
138	2.67073311
139	2.666950542
140	2.662727058
141	2.658446895
